id,stretch,stress,rate
10,1,0,0.05
10,1.01,2455.774,0.05
10,1.02,4455.917801,0.05
10,1.03,6820.574889,0.05
10,1.04,8899.198605,0.05
10,1.05,10539.80492,0.05
10,1.06,12226.46825,0.05
10,1.07,13733.43494,0.05
10,1.08,14954.88478,0.05
10,1.09,16231.82539,0.05
10,1.1,17322.38402,0.05
10,1.11,18469.18292,0.05
10,1.12,19440.1932,0.05
10,1.13,20414.52565,0.05
10,1.14,21267.36459,0.05
10,1.15,22158.91733,0.05
10,1.16,22983.48894,0.05
10,1.17,23712.05457,0.05
10,1.18,24559.90329,0.05
10,1.19,25215.33028,0.05
10,1.2,26056.70115,0.05
10,1.21,26731.4591,0.05
10,1.22,27409.93725,0.05
10,1.23,28139.4855,0.05
10,1.24,28828.06958,0.05
10,1.25,29419.99536,0.05
10,1.26,30189.84791,0.05
10,1.27,30709.81025,0.05
10,1.28,31420.19365,0.05
10,1.29,32033.03642,0.05
10,1.3,32576.37843,0.05
10,1.31,33198.70032,0.05
10,1.32,33840.02554,0.05
10,1.33,34308.45168,0.05
10,1.34,34948.86067,0.05
10,1.35,35370.39598,0.05
10,1.36,35971.50414,0.05
10,1.37,36333.57352,0.05
10,1.38,36877.9309,0.05
10,1.39,37329.55342,0.05
10,1.4,37776.98993,0.05
10,1.41,38136.52786,0.05
10,1.42,38476.74254,0.05
10,1.43,38848.08033,0.05
10,1.44,39257.03427,0.05
10,1.45,39611.0383,0.05
10,1.46,40049.31896,0.05
10,1.47,40446.41125,0.05
10,1.48,40814.09229,0.05
10,1.49,41173.15088,0.05
10,1.48,39297.80749,0.05
10,1.47,37576.75598,0.05
10,1.46,36558.55957,0.05
10,1.45,35145.65346,0.05
10,1.44,33807.88838,0.05
10,1.43,32570.33101,0.05
10,1.42,31346.28384,0.05
10,1.41,30182.65532,0.05
10,1.4,29026.36303,0.05
10,1.39,27848.00643,0.05
10,1.38,26665.03469,0.05
10,1.37,25556.95445,0.05
10,1.36,24649.48866,0.05
10,1.35,23556.9029,0.05
10,1.34,22487.65754,0.05
10,1.33,21384.13201,0.05
10,1.32,20413.90537,0.05
10,1.31,19502.89156,0.05
10,1.3,18495.78289,0.05
10,1.29,17544.12032,0.05
10,1.28,16522.81353,0.05
10,1.27,15632.22493,0.05
10,1.26,14679.80476,0.05
10,1.25,13753.79957,0.05
10,1.24,12709.56715,0.05
10,1.23,11740.27563,0.05
10,1.22,10802.17465,0.05
10,1.21,9809.067521,0.05
10,1.2,8829.016606,0.05
10,1.19,7797.126575,0.05
10,1.18,6886.796178,0.05
10,1.17,5797.037619,0.05
10,1.16,4839.329607,0.05
10,1.15,3665.037998,0.05
10,1.14,2680.059726,0.05
10,1.13,1628.993125,0.05
11,1,0,0.03
11,1.01,2273.220628,0.03
11,1.02,4103.324189,0.03
11,1.03,5826.414953,0.03
11,1.04,7277.415893,0.03
11,1.05,8682.104539,0.03
11,1.06,9951.84133,0.03
11,1.07,11279.87097,0.03
11,1.08,12494.12864,0.03
11,1.09,13642.21409,0.03
11,1.1,14765.72177,0.03
11,1.11,15739.98514,0.03
11,1.12,16688.90517,0.03
11,1.13,17621.17845,0.03
11,1.14,18441.39619,0.03
11,1.15,19332.35899,0.03
11,1.16,20159.64113,0.03
11,1.17,21011.33343,0.03
11,1.18,21789.37511,0.03
11,1.19,22429.27663,0.03
11,1.2,23156.92159,0.03
11,1.21,23861.29065,0.03
11,1.22,24574.76434,0.03
11,1.23,25218.82849,0.03
11,1.24,25858.8288,0.03
11,1.25,26492.36842,0.03
11,1.26,27117.70507,0.03
11,1.27,27750.54626,0.03
11,1.28,28333.2804,0.03
11,1.29,28946.24394,0.03
11,1.3,29565.5539,0.03
11,1.31,30044.76654,0.03
11,1.32,30592.35519,0.03
11,1.33,31080.49867,0.03
11,1.34,31639.45192,0.03
11,1.35,32114.39577,0.03
11,1.36,32618.62152,0.03
11,1.37,33147.8509,0.03
11,1.38,33516.42374,0.03
11,1.39,33911.49908,0.03
11,1.4,34396.36163,0.03
11,1.41,34853.74477,0.03
11,1.42,35235.89681,0.03
11,1.43,35528.86845,0.03
11,1.44,35846.32199,0.03
11,1.45,36322.0411,0.03
11,1.46,36605.18465,0.03
11,1.47,37241.07575,0.03
11,1.48,37443.44475,0.03
11,1.49,37639.3707,0.03
11,1.48,35325.38937,0.03
11,1.47,34062.1111,0.03
11,1.46,32745.02009,0.03
11,1.45,31598.62951,0.03
11,1.44,30321.54008,0.03
11,1.43,29177.12966,0.03
11,1.42,27882.36913,0.03
11,1.41,27007.53877,0.03
11,1.4,25946.97663,0.03
11,1.39,24901.96011,0.03
11,1.38,23896.05068,0.03
11,1.37,22896.46169,0.03
11,1.36,21914.73743,0.03
11,1.35,20921.25732,0.03
11,1.34,20018.18801,0.03
11,1.33,19110.9166,0.03
11,1.32,18214.5833,0.03
11,1.31,17296.35073,0.03
11,1.3,16394.31307,0.03
11,1.29,15487.29223,0.03
11,1.28,14574.06801,0.03
11,1.27,13936.61783,0.03
11,1.26,12902.32778,0.03
11,1.25,12028.72131,0.03
11,1.24,11117.38866,0.03
11,1.23,10379.73641,0.03
11,1.22,9784.231426,0.03
11,1.21,8832.091107,0.03
11,1.2,7638.369731,0.03
11,1.19,6843.752652,0.03
11,1.18,5958.52081,0.03
11,1.17,5155.581303,0.03
11,1.16,4248.720151,0.03
11,1.15,3292.229706,0.03
11,1.14,2458.130432,0.03
11,1.13,1504.938909,0.03
12,1,0,0.01
12,1.01,1314.373792,0.01
12,1.02,2652.4967,0.01
12,1.03,3385.756723,0.01
12,1.04,4392.530284,0.01
12,1.05,5381.029455,0.01
12,1.06,6406.915309,0.01
12,1.07,7374.107055,0.01
12,1.08,8266.244133,0.01
12,1.09,9083.865943,0.01
12,1.1,9973.812939,0.01
12,1.11,10790.24244,0.01
12,1.12,11498.30213,0.01
12,1.13,12205.70763,0.01
12,1.14,12940.87446,0.01
12,1.15,13649.81149,0.01
12,1.16,14305.78117,0.01
12,1.17,15008.37582,0.01
12,1.18,15636.33682,0.01
12,1.19,16259.7798,0.01
12,1.2,16849.52116,0.01
12,1.21,17451.84726,0.01
12,1.22,18025.39934,0.01
12,1.23,18568.49566,0.01
12,1.24,19112.59133,0.01
12,1.25,19633.35126,0.01
12,1.26,20142.18672,0.01
12,1.27,20659.39543,0.01
12,1.28,21155.75584,0.01
12,1.29,21630.45643,0.01
12,1.3,22105.22641,0.01
12,1.31,22539.93324,0.01
12,1.32,23008.78889,0.01
12,1.33,23473.2969,0.01
12,1.34,23936.36225,0.01
12,1.35,23986.37664,0.01
12,1.36,24667.26539,0.01
12,1.37,25310.62974,0.01
12,1.38,25599.60954,0.01
12,1.39,25890.71643,0.01
12,1.4,25941.01668,0.01
12,1.41,26829.69225,0.01
12,1.42,27063.75794,0.01
12,1.43,27320.1789,0.01
12,1.44,27643.87246,0.01
12,1.45,27934.354,0.01
12,1.46,28194.72651,0.01
12,1.47,28431.36352,0.01
12,1.48,28636.89773,0.01
12,1.49,28808.01569,0.01
12,1.48,27534.88772,0.01
12,1.47,26913.06561,0.01
12,1.46,26315.05861,0.01
12,1.45,25618.57149,0.01
12,1.44,24894.03349,0.01
12,1.43,24255.45547,0.01
12,1.42,23582.10669,0.01
12,1.41,22872.0854,0.01
12,1.4,22200.59423,0.01
12,1.39,21518.28841,0.01
12,1.38,20806.17578,0.01
12,1.37,20137.39466,0.01
12,1.36,19460.44125,0.01
12,1.35,18755.80619,0.01
12,1.34,18031.77038,0.01
12,1.33,17290.14396,0.01
12,1.32,16519.45394,0.01
12,1.31,15821.98009,0.01
12,1.3,15056.26342,0.01
12,1.29,14330.96216,0.01
12,1.28,13595.20877,0.01
12,1.27,12873.94381,0.01
12,1.26,12208.44741,0.01
12,1.25,11575.23324,0.01
12,1.24,10740.84693,0.01
12,1.23,10011.40226,0.01
12,1.22,9272.611812,0.01
12,1.21,8405.419277,0.01
12,1.2,7532.446783,0.01
12,1.19,6668.560808,0.01
12,1.18,5799.903186,0.01
12,1.17,4947.963722,0.01
