id,stretch,stress
1,1,0
1,1.499526963,15650.24133
1,1.996215705,23389.74632
1,2.5,33290.05781
1,3.003784295,39122.57268
1,3.50756859,44955.08755
1,4.011352886,52821.50073
1,4.522232734,58653.80514
1,5.011825922,67283.35111
2,1,0
2,1.091769158,5823.352789
2,1.19820246,7726.97553
2,1.297540208,9757.927377
2,1.396877956,11661.76058
2,1.595553453,15596.54563
2,1.79422895,21565.22898
2,2.248344371,29305.99674
2,2.752128666,37172.40992
2,3.255912961,45038.8231
2,4.008041627,48957.19217
2,4.511825922,60764.28331
2,5.013245033,66440.08867
